CLASSIC_MILK_TEA		MILK + BLACK TEA
RHIZOME_MILK_TEA		MILK + BLACK TEA + TARO BUBBLE + SWEET POTATO BUBBLE
PRO_PUDDING_MILK_TEA 		MILK + BLACK TEA + PUDDING + GRASS JELLY
PUDDING_MILK_TEA 		MILK + BLACK TEA + PUDDING
TARO_MILK_TEA 			MILK + BLACK TEA + TARO BUBBLE
CLASSIC_LATTE	    		MILK + COFFEE
MATCHA_LATTE			MILK + COFFEE + MATCHA
LAVA_PEARL_LATTE		MILK + COFFEE + BUBBLE + BLACK SUGAR
RED_BEAN_MATCHA_LATTE		MILK + COFFEE + MATCHA + READ BEAN
BLACK_TEA_LATTE			MILK + COFFEE + BLACK TEA
MANGO_GREEN_TEA			MANGO + MANGO JUICE + GREEN TEA
PASSIONFRUIT_BLACK_TEA		PASSION FRUIT JUICE + BLACK TEA 
LEMON_GREEN_TEA			BLACK TEA + ALOE VERA + HONEY + LEMON
HONEY_ALOE_VERA	        	BLACK TEA + ALOE VERA + HONEY 
GRAPEFRUIT_GREEN_TEA    	GRAPEFRUIT JUICE + LIGHT GREEN TEA
OREO_CHOCOLATE		    	CHOCOLATE LATTE + SALTY CHEESE FOAM + OREO
SMASHED_TARO_MILK	    	MASHED TARO + LACTOSE FREE MILK
ROASTED_LATTE			HOJI TEA + BROWN SUGAR + LACTOSE FREE MILK
THAI_MILK_TEA		    	THAI TEA + SMOOTH CONDENSED MILK
PEACH_KEFIR			PEACH + KEFIR



